,date,county,cases,deaths
416,2020-03-01,New York City,1,0
448,2020-03-02,New York City,1,0
482,2020-03-03,New York City,2,0
518,2020-03-04,New York City,2,0
565,2020-03-05,New York City,4,0
627,2020-03-06,New York City,5,0
715,2020-03-07,New York City,12,0
820,2020-03-08,New York City,14,0
947,2020-03-09,New York City,20,0
1098,2020-03-10,New York City,37,0
1285,2020-03-11,New York City,52,0
1521,2020-03-12,New York City,96,0
1814,2020-03-13,New York City,155,0
2163,2020-03-14,New York City,269,1
2574,2020-03-15,New York City,330,5
3033,2020-03-16,New York City,464,7
3549,2020-03-17,New York City,645,10
4150,2020-03-18,New York City,1339,20
4879,2020-03-19,New York City,2468,22
5728,2020-03-20,New York City,4408,43
6722,2020-03-21,New York City,6211,60
7817,2020-03-22,New York City,9045,99
9015,2020-03-23,New York City,12305,131
10326,2020-03-24,New York City,14905,192
11767,2020-03-25,New York City,20011,280
13380,2020-03-26,New York City,23112,365
15124,2020-03-27,New York City,25399,450
16964,2020-03-28,New York City,30766,672
18902,2020-03-29,New York City,33768,776
20952,2020-03-30,New York City,38087,914
23093,2020-03-31,New York City,43139,1096
25297,2020-04-01,New York City,47440,1374
27558,2020-04-02,New York City,51810,1562
29880,2020-04-03,New York City,57160,1867
32268,2020-04-04,New York City,63307,2254
34701,2020-04-05,New York City,67552,2472
37174,2020-04-06,New York City,68776,3485
39688,2020-04-07,New York City,76876,4009
42241,2020-04-08,New York City,81803,4571
44818,2020-04-09,New York City,87028,5150
